Question,Answer,Category
Elige quién va a hacer la mímica y esconde la respuesta, Bro poniéndose tatuajes en la calva, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Paula in Master Chef, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Keyvan, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Javier San Emeterio (Saneme), Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Vicens, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Pablue, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Un cohete, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Un matao escalando, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, La jenga de Pablo, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Ceci, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Kike matando una avispa, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Primer día de la uni, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Strava, Simulación
Elige quién va a hacer la mímica y esconde la respuesta, Strip póker, Simulación
Elige con quién vas a jugar a "password" y esconde la respuesta, COHETE + BICBLIOTECA + PAULA + CHORRITO + LIBROS, Fórmulas
Elige con quién vas a jugar a "password" y esconde la respuesta, CAFÉ + BODA + CILINDRO + BERNOULLI + AIRBUS, Fórmulas
Elige con quién vas a jugar a "password" y esconde la respuesta, ESPACIO + ESQUIAR + KIWI + MANTISA + JENGA, Fórmulas
Elige con quién vas a jugar a "password" y esconde la respuesta, SETE + HOSTAL + EX + TRIVIAL + LIBRO, Fórmulas
Elige con quién vas a jugar a "password" y esconde la respuesta, LONDRES + ÓRBITA + MISIL + NIEVE + SURF, Fórmulas
Elige con quién vas a jugar a "password" y esconde la respuesta, AVIÓN + TRAJE + STRAVA + FRODO + CHILL, Fórmulas
Elige con quién vas a jugar a "password" y esconde la respuesta, ESCALADA + MADRID + VELOCIDAD + TOROIDE + ERASMUS, Fórmulas
Elige con quién vas a jugar a "password" y esconde la respuesta, DELFT + CHOPO + GOLLUM + SATÉLITES + ITALIA, Fórmulas
Elige con quién vas a jugar a "password" y esconde la respuesta, BOADILLA + APUNTES + DOMINADAS + TORRENTE + MATLAB, Fórmulas
Elige con quién vas a jugar a "password" y esconde la respuesta, TABLA + CHULETAS + SUEÑO + SHREK + PYTHON, Fórmulas
Elige un compañero y juega a "las marcas": profesor/a de la universidad, Fórmulas
Elige un compañero y juega a "las marcas": qué dos personas del grupo se llevaron peor cuando se conocieron?, Depende, Fórmulas
Elige un compañero y juega a "las marcas": quién del secret santa ganaría un 5K corriendo?, Depende, Fórmulas
Elige un compañero y juega a "las marcas": quién de los presentes es más pijo?, Depende, Fórmulas
Elige un compañero y juega a "las marcas": a quién de los presentes estarías más seguro de presentar en familia y que caigan bien?, Depende, Fórmulas
Elige un compañero y juega a "las marcas": quién tiene más suerte de los presentes?, Fórmulas
Elige un compañero y juega a "las marcas": quién va a ser el último de los presentes en tener a su último hijo?, Fórmulas
Elige un compañero y juega a "las marcas": una serie que le encante a Bro, Fórmulas
Elige un compañero y juega a "las marcas": la asignatura más difícil de la carrera, Fórmulas
Elige un compañero y juega a "las marcas": marca de bicicletas, Fórmulas
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, La escuela, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, El chiscón, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Un flap, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Ecuaciones de Navier-Stokes, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, El playero haciendo snow, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Gonzalo siendo un matao, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, La pedida de matrimonio de Toni + Laura, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Gonzalo tirándose pedos en la cama de Paula, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, La foto de Pablo de la peli Titánic, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Gonzalo colándose en la cafetería y pidiendo 5 euros a Joaquín, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Aquel calendario de Joaquín, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Sofi haciendo de Moana, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Tomás y Hannah, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Fer (el amigo de Gonzalo), Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Laura (mujer de PGoPe), Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, El centro de Madrid, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Pablo disfrazado en colmenar, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, Nuria Martin Piris, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, La araña del Señor de Los Anillos, Dibujo Técnico
Elige con quién vas a jugar a "pictionary" y esconde la respuesta, El grupo 6 del GIA, Dibujo Técnico
